arm,domain,trace,regime,concurrency,output_tok_s,speedup_vs_baseline,saturation_concurrency,saturation_output_tok_s,saturation_speedup_vs_baseline
n-gram,summarization-long,cnn_long,2K,200,1957.0068411326472,0.8832407042405411,293,1969.5349116152138,
n-gram,summarization-long,cnn_long,2K,293,1969.5349116152138,,293,1969.5349116152138,
n-gram,structured-JSON,edgar_json,2K,1,0.0,,293,0.0,
n-gram,structured-JSON,edgar_json,2K,5,0.0,,293,0.0,
n-gram,structured-JSON,edgar_json,2K,25,0.0,,293,0.0,
n-gram,structured-JSON,edgar_json,2K,50,0.0,,293,0.0,
n-gram,structured-JSON,edgar_json,2K,100,0.0,,293,0.0,
n-gram,structured-JSON,edgar_json,2K,200,0.0,,293,0.0,
n-gram,structured-JSON,edgar_json,2K,293,0.0,,293,0.0,
EAGLE3,conversational,sharegpt,2K,1,117.33679397076688,1.092916504223293,283,1204.5413546777424,
EAGLE3,conversational,sharegpt,2K,5,386.75113917616403,0.8563426913862918,283,1204.5413546777424,
EAGLE3,conversational,sharegpt,2K,25,989.980764919102,0.7447990402486203,283,1204.5413546777424,
EAGLE3,conversational,sharegpt,2K,50,1167.8618500364237,0.6789508650307633,283,1204.5413546777424,
EAGLE3,conversational,sharegpt,2K,100,1172.1357909399228,0.573643300012475,283,1204.5413546777424,
EAGLE3,conversational,sharegpt,2K,200,1198.736224577407,0.5414282088869116,283,1204.5413546777424,
EAGLE3,conversational,sharegpt,2K,283,1204.5413546777424,,283,1204.5413546777424,
EAGLE3,code,swebench,2K,1,118.49858251010554,1.1035312498027317,283,1208.785355118687,
EAGLE3,code,swebench,2K,5,504.103879753893,1.117345284982014,283,1208.785355118687,
EAGLE3,code,swebench,2K,25,999.6901578092813,0.752241573653962,283,1208.785355118687,
EAGLE3,code,swebench,2K,50,1152.6647906938,0.6695239044869515,283,1208.785355118687,
EAGLE3,code,swebench,2K,100,1179.0236808722925,0.5775073763026517,283,1208.785355118687,
