arm,domain,regime,concurrency,output_tok_s,cost_per_1M_output_tokens_USD,h200_usd_per_hr
baseline,code,8K,50,910.5029918769947,1.363715086874103,4.47
baseline,code,8K,75,962.7469203500643,1.289712426413355,4.47
baseline,summarization-short,8K,1,82.85040958852818,14.986850069098429,4.47
baseline,summarization-short,8K,5,202.68525542667624,6.12608284728365,4.47
baseline,summarization-short,8K,25,291.10869487862567,4.265302577734289,4.47
baseline,summarization-short,8K,50,307.3082694457112,4.040459662560491,4.47
baseline,summarization-short,8K,75,311.3600589107121,3.9878803691475917,4.47
baseline,summarization-long,8K,1,92.59714599428494,13.4093405723682,4.47
baseline,summarization-long,8K,5,270.2069118671581,4.595243911736453,4.47
baseline,summarization-long,8K,25,450.3546076607402,2.757086628060071,4.47
baseline,summarization-long,8K,50,492.6688672716151,2.52028644217561,4.47
baseline,summarization-long,8K,75,505.9459490786254,2.4541488452034392,4.47
baseline,structured-JSON,8K,1,102.05927752787998,12.16613223944756,4.47
baseline,structured-JSON,8K,5,383.79298070911057,3.2352511095239826,4.47
baseline,structured-JSON,8K,25,881.6860126973311,1.4082866789142443,4.47
baseline,structured-JSON,8K,50,1045.2763958113521,1.1878835795415381,4.47
baseline,structured-JSON,8K,75,1115.109371895386,1.1134931675411956,4.47
n-gram,conversational,8K,1,121.95861729347713,10.18104906583814,4.47
n-gram,conversational,8K,5,335.26001179410986,3.7035931008354193,4.47
n-gram,conversational,8K,25,787.8545872651223,1.5760099474407596,4.47
n-gram,conversational,8K,50,873.8406606116212,1.4209302938565431,4.47
n-gram,conversational,8K,73,909.2560896094332,1.36558520845323,4.47
n-gram,code,8K,1,132.2923940319105,9.385775166841125,4.47
n-gram,code,8K,5,392.1297549376467,3.166468881873314,4.47
n-gram,code,8K,25,792.8836971095849,1.5660136173730095,4.47
n-gram,code,8K,50,877.2541810126653,1.4154012526145374,4.47
n-gram,code,8K,73,909.3386888767559,1.365461166290431,4.47
n-gram,summarization-short,8K,1,103.26663180187384,12.023890437802928,4.47
n-gram,summarization-short,8K,5,216.31364145413193,5.7401218819107855,4.47
n-gram,summarization-short,8K,25,293.08504226163177,4.23654055179743,4.47
n-gram,summarization-short,8K,50,302.38947764927764,4.106183443680528,4.47
n-gram,summarization-short,8K,73,305.0527163593383,4.070334732584513,4.47
n-gram,summarization-long,8K,1,131.12070305167205,9.469646194448412,4.47
n-gram,summarization-long,8K,5,286.9392112606368,4.327281242642079,4.47
n-gram,summarization-long,8K,25,442.06488173155026,2.8087882977790697,4.47
n-gram,summarization-long,8K,50,470.0343840331132,2.6416507150234207,4.47
n-gram,summarization-long,8K,73,474.5726188026211,2.616389183597393,4.47
n-gram,structured-JSON,8K,1,142.4935582075044,8.713844206616733,4.47
n-gram,structured-JSON,8K,5,430.15716097044765,2.8865418952120403,4.47
n-gram,structured-JSON,8K,25,898.6181461701301,1.3817511608891873,4.47
n-gram,structured-JSON,8K,50,996.0071895010719,1.2466442810404337,4.47
n-gram,structured-JSON,8K,73,1032.8163524198787,1.202214376018983,4.47
EAGLE3,conversational,8K,1,93.29397725143981,13.309183542686878,4.47
EAGLE3,conversational,8K,5,286.52254164170927,4.333574103985669,4.47
EAGLE3,conversational,8K,25,564.8479189961045,2.198231815872601,4.47
EAGLE3,conversational,8K,50,572.9665826945159,2.1670839175775742,4.47
EAGLE3,conversational,8K,70,578.2533110178623,2.147271175120537,4.47
EAGLE3,code,8K,1,93.73202287468783,13.246984633273891,4.47
EAGLE3,code,8K,5,310.0643785465283,4.004544709350874,4.47
EAGLE3,code,8K,25,558.8655224981028,2.221762869028804,4.47
EAGLE3,code,8K,50,572.1786340299577,2.17006821439903,4.47
EAGLE3,code,8K,70,576.4114546619642,2.154132532627827,4.47
EAGLE3,summarization-short,8K,1,79.07513718949609,15.702365001165031,4.47
EAGLE3,summarization-short,8K,5,186.6860911537928,6.651093603131774,4.47
EAGLE3,summarization-short,8K,25,244.40997712699874,5.080261784982206,4.47
EAGLE3,summarization-short,8K,50,249.31406204093813,4.980331460255865,4.47
EAGLE3,summarization-short,8K,70,251.23305985953482,4.942290108478901,4.47
EAGLE3,summarization-long,8K,1,75.37198202313324,16.47384921210607,4.47
EAGLE3,summarization-long,8K,5,219.66833636747012,5.652460828899602,4.47
EAGLE3,summarization-long,8K,25,304.94832407965026,4.07172812119588,4.47
EAGLE3,summarization-long,8K,50,307.54444220875774,4.0373568702758,4.47
EAGLE3,summarization-long,8K,70,303.29883355075236,4.093872212201875,4.47
EAGLE3,structured-JSON,8K,1,99.08424867582708,12.53142334185744,4.47
EAGLE3,structured-JSON,8K,5,345.84950396099146,3.5901935739272153,4.47
EAGLE3,structured-JSON,8K,25,593.7739928457898,2.091143569147768,4.47
EAGLE3,structured-JSON,8K,50,628.6862708833823,1.9750179448359364,4.47
EAGLE3,structured-JSON,8K,70,630.3194907314064,1.9699004789235834,4.47
separate-draft,conversational,8K,1,128.93076305559956,9.630491879825573,4.47
separate-draft,conversational,8K,5,366.6296969339254,3.386705106134492,4.47
separate-draft,conversational,8K,25,682.6013181571212,1.819021782757325,4.47
separate-draft,conversational,8K,43,707.3768151992351,1.7553115114706535,4.47
separate-draft,code,8K,1,137.44113945412957,9.034170348107946,4.47
